#node	x_position	y_position	color	annotation
PFI0035c	0.832771146860405	0.805121951219512	rgb(117,129,239)	Rifin
PF11_0203	0.374130773222626	0.377317073170732	rgb(208,239,117)	Uncharacterized protein; Peptidase, putative; Belongs to the AAA ATPase family
PFI1360c	0.782330046704722	0.394878048780488	rgb(117,117,239)	Serine/threonine-protein phosphatase
PFD0465c	0.135469641930462	0.518292682926829	rgb(117,223,239)	Uncharacterized protein
PFL1305c	0.760845874416191	0.371951219512195	rgb(117,117,239)	Conserved Plasmodium protein
PFL0525w	0.920108977685522	0.873414634146342	rgb(117,117,239)	Conserved Plasmodium protein
PF14_0737	0.874338349766477	0.538780487804878	rgb(117,239,160)	Uncharacterized protein; Lysophospholipase, putative
PFF0355c	0.907031655422937	0.17	rgb(117,162,239)	Uncharacterized protein
PF14_0769	0.259704203425013	0.880243902439024	rgb(117,239,165)	Rifin
MAL13P1.89	0.22047223663726	0.197317073170732	rgb(239,145,117)	Uncharacterized protein
PF07_0100	0.697794499221588	0.704634146341463	rgb(239,181,117)	Uncharacterized protein
PFI0555c	0.874338349766477	0.0880487804878049	rgb(117,117,239)	Uncharacterized protein
PFD0055w	0.76318111053451	0.108536585365854	rgb(117,235,239)	Rifin
MAL8P1.56	0.725350285417748	0.287560975609756	rgb(239,170,117)	Uncharacterized protein
PFL1065c	0.109314997405293	0.928048780487805	rgb(117,117,239)	Conserved Plasmodium protein
PFD0350w	0.491359626362221	0.808536585365854	rgb(117,228,239)	Uncharacterized protein
PFE0310c	0.900492994291645	0.245121951219512	rgb(117,199,239)	Uncharacterized protein
PFL1010c	0.707602490918526	0.345609756097561	rgb(117,117,239)	Conserved Plasmodium protein
PFF0935c	0.547405293201868	0.914390243902439	rgb(117,144,239)	Uncharacterized protein
PFC0555c	0.142008303061754	0.750487804878049	rgb(117,239,224)	Uncharacterized protein
PfABCK1	0.344706798131811	0.22609756097561	rgb(239,206,117)	Atypical/ABC1/ABC1-A protein kinase; ABC1 family, putative
PF10_0015	0.194317592112091	0.791463414634146	rgb(239,212,117)	Acyl CoA binding protein, isoform 1, ACBP1
PFC0795w	0.142008303061754	0.292926829268293	rgb(117,239,230)	Uncharacterized protein
PF14_0497	0.815490399584847	0.129024390243902	rgb(117,239,143)	Uncharacterized protein; Aminomethyltransferase, putative
PF08_0023	0.802413077322263	0.17	rgb(239,198,117)	Uncharacterized protein
PFE1335c	0.221406331084587	0.470487804878049	rgb(117,179,239)	Uncharacterized protein
PF07_0115	0.200856253243384	0.176829268292683	rgb(239,186,117)	Uncharacterized protein; Cation transporting ATPase, cation transporter
PfCLS	0.907031655422937	0.504634146341463	rgb(117,158,239)	Uncharacterized protein; Mitochondrial cardiolipin synthase, PfCLS
PFD0692c	0.793539180072652	0.250975609756098	rgb(117,216,239)	Calmodulin-like protein
PFC0950c	0.590373637778931	0.315853658536585	rgb(117,239,232)	Uncharacterized protein; Peptidase, putative
PfMAP1	0.622132848988064	0.49780487804878	rgb(117,239,122)	Mitogen-activated protein kinase 1
PFD0860w	0.135469641930462	0.272439024390244	rgb(117,214,239)	Uncharacterized protein
MAL8P1.71	0.638946549039959	0.832439024390244	rgb(239,171,117)	RNA binding protein, putative
PF10_0267	0.680980799169694	0.752926829268293	rgb(239,231,117)	Mitochondrial ribosomal protein S22, putative
PFD0455w	0.577296315516347	0.614878048780488	rgb(117,224,239)	40S ribosomal processing protein, putative
PFB0715w	0.477815256875973	0.54219512195122	rgb(117,239,204)	DNA-directed RNA polymerase subunit beta; DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
PFE0020c	0.900492994291645	0.224634146341463	rgb(117,206,239)	Rifin
PF14_0315	0.573092890503373	0.23	rgb(117,239,127)	Uncharacterized protein
PF11_0414	0.822029060716139	0.149512195121951	rgb(190,239,117)	Conserved Plasmodium protein
PF07_0075	0.723949143746757	0.671951219512195	rgb(239,179,117)	Uncharacterized protein
MAL13P1.48	0.22047223663726	0.40219512195122	rgb(239,142,117)	Uncharacterized protein
PFL1365w	0.109314997405293	0.340731707317073	rgb(117,117,239)	Conserved Plasmodium protein
PFC0530w	0.155085625324338	0.89390243902439	rgb(117,239,221)	Uncharacterized protein; Transporter, putative
PFL2000w	0.423170731707317	0.081219512195122	rgb(117,117,239)	Mitochondrial carrier protein, putative
PFB0610c	0.535729112610275	0.439268292682927	rgb(117,239,200)	Conserved Plasmodium protein
FIKK7.1	0.230280228334198	0.667073170731707	rgb(239,150,117)	Serine/Threonine protein kinase, FIKK family
PFL0735w	0.670238713025428	0.421219512195122	rgb(117,117,239)	Peptidyl-prolyl cis-trans isomerase; PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
PF11_0413	0.769719771665802	0.149512195121951	rgb(191,239,117)	Conserved Plasmodium protein
PFC0506w	0.31201349247535	0.198780487804878	rgb(117,239,219)	Uncharacterized protein
MAL13P1.282	0.246626881162429	0.381707317073171	rgb(239,124,117)	Uncharacterized protein
PF13_0033	0.522651790347691	0.285609756097561	rgb(173,239,117)	Uncharacterized protein; 26S proteasome regulatory subunit, putative; Belongs to the AAA ATPase family
PFL2335w	0.6641670991178	0.779756097560976	rgb(117,117,239)	Conserved Plasmodium protein
PF11_0325	0.514711987545407	0.149512195121951	rgb(199,239,117)	Conserved Plasmodium protein
PFI1265w	0.285858847950182	0.921219512195122	rgb(117,117,239)	Uncharacterized protein
PFC0145c	0.318552153606642	0.89390243902439	rgb(117,239,212)	Uncharacterized protein
MAL8P1.75a	0.421769590036326	0.13390243902439	rgb(239,174,117)	Uncharacterized protein; GTPase, putative
PFF0195c	0.12893098079917	0.163170731707317	rgb(117,168,239)	Uncharacterized protein
PF11_0061	0.465204981837052	0.367560975609756	rgb(220,239,117)	Histone H4; Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling
PF14_0746	0.235417747794499	0.612439024390244	rgb(117,239,163)	Uncharacterized protein
MAL7P1.83	0.456798131811105	0.289024390243902	rgb(239,159,117)	Uncharacterized protein
PF10_0161a	0.194317592112091	0.28609756097561	rgb(239,224,117)	Plasmodium exported protein
PF14_0403	0.411961598339388	0.700731707317073	rgb(117,239,134)	Protein prenyltransferase alpha subunit, putative
PFL1670c	0.664634146341464	0.218780487804878	rgb(117,117,239)	Conserved Plasmodium protein
PFF0230c	0.194317592112091	0.101707317073171	rgb(117,167,239)	Uncharacterized protein; Glyoxalase I, putative
PF14_0738	0.874338349766477	0.716341463414634	rgb(117,239,161)	Uncharacterized protein; Lysophospholipase, putative
PFB0055c	0.451660612350804	0.740243902439024	rgb(117,239,185)	Rifin
PFI1645c	0.39468085106383	0.674878048780488	rgb(117,117,239)	Uncharacterized protein; Histidyl-tRNA synthetase, putative
PFF0400w	0.907031655422937	0.354390243902439	rgb(117,159,239)	Uncharacterized protein
PFD0993c	0.135469641930462	0.251951219512195	rgb(117,213,239)	Uncharacterized protein
PfSAMS	0.357317073170732	0.328048780487805	rgb(117,117,239)	S-adenosylmethionine synthase; Catalyzes the formation of S-adenosylmethionine from methionine and ATP
PF10_0360	0.73562532433835	0.345609756097561	rgb(237,239,117)	Uncharacterized protein; Acetyl-CoA transporter, putative
MAL8P1.161	0.691255838090296	0.825609756097561	rgb(239,163,117)	Uncharacterized protein
PF13_0006	0.861261027503892	0.422682926829268	rgb(178,239,117)	Rifin
PfCyP19	0.531992734820965	0.595365853658537	rgb(117,239,233)	Peptidyl-prolyl cis-trans isomerase; PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
PFE0875c	0.802413077322263	0.191951219512195	rgb(117,188,239)	Uncharacterized protein
PFF0770c	0.907031655422937	0.914390243902439	rgb(117,151,239)	Uncharacterized protein
PFA_0295c	0.751037882719253	0.297317073170732	rgb(117,239,175)	Putative uncharacterized protein
PF10_0148	0.710871821484172	0.644146341463415	rgb(239,220,117)	Uncharacterized protein
PF08_0100	0.438116242864556	0.428048780487805	rgb(239,207,117)	RuvB-like DNA helicase, putative; Belongs to the RuvB family
MAL13P1.69	0.397950181629476	0.217804878048781	rgb(239,144,117)	Septum formation protein MAF homologue, putative
MAL8P1.85	0.740762843798651	0.407073170731707	rgb(239,175,117)	Uncharacterized protein
PFI0350c	0.717410482615464	0.0880487804878049	rgb(117,121,239)	Prefoldin, alpha subunit
PFF0035c	0.12893098079917	0.770975609756098	rgb(117,175,239)	Rifin
PF14_0339	0.432978723404255	0.325609756097561	rgb(117,239,130)	Uncharacterized protein
MAL8P1.25	0.207394914374676	0.490975609756098	rgb(239,166,117)	Uncharacterized protein
PF11_0153	0.181240269849507	0.770975609756098	rgb(211,239,117)	Conserved Plasmodium protein
PfLigI	0.699195640892579	0.459268292682927	rgb(239,118,117)	DNA ligase
PF14_0155	0.424104826154645	0.238292682926829	rgb(133,239,117)	Uncharacterized protein; Serine C-palmitoyltransferase, putative
PfSyn18	0.233549558899844	0.757317073170732	rgb(239,134,117)	Qa-SNARE protein, putative
PFE1065w	0.599714582252206	0.907560975609756	rgb(117,187,239)	Uncharacterized protein
PF13_0295	0.744499221587961	0.831463414634146	rgb(152,239,117)	Uncharacterized protein
PF11_0530	0.174701608718215	0.641219512195122	rgb(181,239,117)	Conserved Plasmodium membrane protein
PF14_0629	0.874338349766477	0.292926829268293	rgb(117,239,153)	Uncharacterized protein
PF14_0470	0.808484691229891	0.492439024390244	rgb(117,239,140)	DNA replication related protein, putative
PF07_0109a	0.227010897768552	0.832439024390244	rgb(239,183,117)	Putative uncharacterized protein
PFE1615c	0.248962117280747	0.728048780487805	rgb(117,177,239)	Uncharacterized protein
PFL0225c	0.920108977685522	0.108536585365854	rgb(117,117,239)	Conserved Plasmodium protein
PF14_0618	0.662298910223145	0.101707317073171	rgb(117,239,151)	Uncharacterized protein
PF11_0256	0.308744161909704	0.607560975609756	rgb(205,239,117)	Uncharacterized protein; Pyruvate dehydrogenase alpha subunit
PF07_0009	0.488557343020239	0.832439024390244	rgb(239,176,117)	Uncharacterized protein; Chitinase, truncated
PFD0145c	0.623533990659056	0.182682926829268	rgb(117,233,239)	Uncharacterized protein; Regulator of chromosome condensation, putative
PFB0535w	0.213933575505968	0.12219512195122	rgb(117,239,196)	Uncharacterized protein; GDP-fructose:GMP antiporter, putative
MAL13P1.218	0.769719771665802	0.231463414634146	rgb(239,117,117)	Uncharacterized protein; UDP-N-acetylglucosamine pyrophosphorylase, putative
PFL2430c	0.926647638816814	0.28609756097561	rgb(117,117,239)	Uncharacterized protein; Eukaryotictranslation initiation factor 2b, subunit 2, putative; Belongs to the eIF-2B alpha/beta/delta subunits family
PF14_0004	0.233549558899844	0.142682926829268	rgb(147,239,117)	Rifin
MAL7P1.163	0.213933575505968	0.361219512195122	rgb(239,154,117)	Uncharacterized protein
PFF1090c	0.390477426050856	0.914390243902439	rgb(117,141,239)	Uncharacterized protein
AQP	0.404021795537104	0.270975609756098	rgb(196,239,117)	Uncharacterized protein; Aquaglyceroporin; Belongs to the MIP/aquaporin (TC 1.A.8) family
Pfnek-4	0.815490399584847	0.374878048780488	rgb(239,147,117)	Protein kinase; Belongs to the protein kinase superfamily
PFF0120w	0.334898806434873	0.712926829268293	rgb(117,174,239)	Uncharacterized protein; Geranylgeranyltransferase, putative
PFA_0550w	0.610456668396471	0.309512195121951	rgb(117,239,181)	Uncharacterized protein
PFL1555w	0.766917488323819	0.548048780487805	rgb(117,117,239)	Uncharacterized protein; Cytochrome B5, putative
PFF0335c	0.750570835495589	0.171463414634146	rgb(117,163,239)	Uncharacterized protein
MAL13P1.300	0.790269849507006	0.661707317073171	rgb(239,125,117)	Uncharacterized protein
PFI0520w	0.822029060716139	0.0880487804878049	rgb(117,117,239)	Actin-like protein, putative; Belongs to the actin family
PfTKL-4	0.161624286455631	0.340731707317073	rgb(117,239,128)	Protein kinase, putative
PF13_0080	0.586637259989621	0.866585365853659	rgb(168,239,117)	Uncharacterized protein
PF08_0021	0.607654385054489	0.214878048780488	rgb(239,196,117)	Uncharacterized protein; SPRY domain, putative
PF14_0244	0.357784120394395	0.248536585365854	rgb(121,239,117)	Uncharacterized protein; ABC transporter, (EPP family)
PF11_0010	0.436248053969901	0.852926829268293	rgb(225,239,117)	Rifin
PFI1625c	0.404021795537104	0.341707317073171	rgb(117,117,239)	Uncharacterized protein; Organelle processing peptidase, putative; Belongs to the peptidase M16 family
PFL1655c	0.611857810067462	0.486585365853659	rgb(117,117,239)	Uncharacterized protein; DNA polymerase epsilon subunit B, putative
PFC0785c	0.477348209652309	0.236341463414634	rgb(117,239,228)	Proteasome regulatory protein, putative
PF10_0363	0.493227815256876	0.537804878048781	rgb(236,239,117)	Uncharacterized protein; Pyruvate kinase
PF11_0076	0.431577581733264	0.774878048780488	rgb(218,239,117)	Conserved Plasmodium protein
PFC0010c	0.70433316035288	0.89390243902439	rgb(117,239,207)	Rifin
PFI0210c	0.514711987545407	0.0880487804878049	rgb(117,126,239)	Cysteine repeat modular protein, putative
PF14_0327	0.400285417747794	0.65390243902439	rgb(117,239,129)	Methionine aminopeptidase 2; Cotranslationally removes the N-terminal methionine from nascent proteins. The N-terminal methionine is often cleaved when the second residue in the primary sequence is small and uncharged (Met-Ala-, Cys, Gly, Pro, Ser, Thr, or Val)
MAL7P1.14	0.815490399584847	0.572926829268293	rgb(239,149,117)	Uncharacterized protein
MAL13P1.309	0.89862480539699	0.579756097560976	rgb(239,127,117)	14-3-3 protein, putative; Belongs to the 14-3-3 family
PFE0775c	0.782797093928386	0.907560975609756	rgb(117,192,239)	Uncharacterized protein; Amino acid transporter, putative
MAL13P1.47	0.423637778930981	0.386585365853658	rgb(239,139,117)	Mitochondrial ATP synthase delta subunit, putative
PF10_0340	0.326491956408926	0.410975609756098	rgb(239,239,117)	Methionine-tRNA ligase, putative; Belongs to the class-I aminoacyl-tRNA synthetase family
PF14_0210	0.442786715101194	0.873414634146342	rgb(126,239,117)	Uncharacterized protein
MAL13P1.245	0.516580176440062	0.236829268292683	rgb(239,122,117)	Uncharacterized protein
PFA_0490w	0.880877010897769	0.648048780487805	rgb(117,239,178)	Uncharacterized protein
PF14_0416	0.514711987545407	0.129024390243902	rgb(117,239,138)	Zinc finger protein, putative
PF11_0441a	0.8547223663726	0.852926829268293	rgb(188,239,117)	Uncharacterized protein; Alpha/beta hydrolase, putative
PFE0255w	0.358718214841723	0.439268292682927	rgb(117,200,239)	Actin-like protein, putative; Belongs to the actin family
PF10_0045	0.638012454592631	0.291463414634146	rgb(239,215,117)	Conserved Plasmodium membrane protein
ETRAMP10.2	0.187778930980799	0.265609756097561	rgb(239,239,117)	Early transcribed membrane protein 10.2, etramp 10.2
PF07_0114	0.200856253243384	0.709512195121951	rgb(239,185,117)	Uncharacterized protein
PF13_0285	0.168162947586923	0.313414634146341	rgb(153,239,117)	Uncharacterized protein; Inositol-polyphosphate 5-phosphatase
PFA_0160c	0.380202387130254	0.600243902439024	rgb(117,239,171)	Uncharacterized protein; Nucleoside transporter, putative
PFE0645w	0.900492994291645	0.695853658536585	rgb(117,195,239)	Uncharacterized protein
PF14_0410	0.285858847950182	0.135853658536585	rgb(117,239,135)	Uncharacterized protein
PFF1060w	0.442786715101194	0.914390243902439	rgb(117,142,239)	Uncharacterized protein
PFI1587c	0.115853658536585	0.456829268292683	rgb(117,117,239)	Uncharacterized protein
PFC0230c	0.207394914374676	0.89390243902439	rgb(117,239,217)	Uncharacterized protein
PF13_0246	0.168162947586923	0.443170731707317	rgb(158,239,117)	Uncharacterized protein
PF10_0182	0.488557343020239	0.17	rgb(239,227,117)	Conserved Plasmodium protein
PFI1150w	0.397483134405812	0.747073170731707	rgb(117,117,239)	Uncharacterized protein
PFA_0520c	0.519849507005708	0.394878048780488	rgb(117,239,180)	Chromatin assembly factor 1 protein WD40 domain, putative
PF14_0238	0.848183705241308	0.215365853658537	rgb(123,239,117)	Uncharacterized protein
MAL8P1.33	0.480150492994292	0.223658536585366	rgb(239,168,117)	Obg family GTPase CgtA; GTP binding protein, putative
PFF0825c	0.394213803840166	0.591463414634146	rgb(117,148,239)	Uncharacterized protein; Mitochondrial import receptor subunit tom40
PFB0735c	0.887415672029061	0.89390243902439	rgb(117,239,205)	Conserved Plasmodium protein
PF10_0400	0.848183705241308	0.695853658536585	rgb(230,239,117)	Rifin
MAL13P1.345	0.240088220031137	0.251951219512195	rgb(239,133,117)	Uncharacterized protein
PF08_0094	0.663700051894136	0.306585365853659	rgb(239,204,117)	Cullin-like protein, putative; Belongs to the cullin family
PF08_0064	0.712740010378827	0.519756097560976	rgb(239,199,117)	Vacuolar protein-sorting protein, VPS2; Belongs to the SNF7 family
MAL13P1.40	0.22047223663726	0.811951219512195	rgb(239,137,117)	Proteinase inhibitor, putative
PFA0045c	0.155085625324338	0.422682926829268	rgb(117,239,168)	Rifin
MAL13P1.227	0.632407887908666	0.332926829268293	rgb(239,119,117)	Uncharacterized protein; Ubiquitin conjugating enzyme, putative; Belongs to the ubiquitin-conjugating enzyme family
